trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,1910,309,2,3471_2,sim,0,1910,2219,2219,309,bigdata_main_node_02
trace,1523,705,2,2938_1,sim,0,1523,2228,2228,705,bigdata_main_node_05
trace,1966,277,2,3592_1,sim,0,1966,2243,2243,277,bigdata_main_node_01
trace,2020,225,2,3662_1,sim,0,2020,2245,2245,225,bigdata_main_node_02
trace,2054,208,2,3727_1,sim,0,2054,2262,2262,208,bigdata_main_node_01
trace,2001,262,2,3640_1,sim,0,2001,2263,2263,262,bigdata_main_node_06
trace,2012,252,2,3649_1,sim,0,2012,2264,2264,252,bigdata_main_node_09
trace,1517,750,2,2940_1,sim,0,1517,2267,2267,750,bigdata_main_node_02
trace,1905,362,2,3473_2,sim,0,1905,2267,2267,362,bigdata_main_node_05
trace,1911,360,2,3473_1,sim,0,1911,2271,2271,360,bigdata_main_node_02
trace,1966,305,2,3586_1,sim,0,1966,2271,2271,305,bigdata_main_node_01
trace,1499,798,2,2918_1,sim,0,1499,2297,2297,798,bigdata_main_node_02
trace,1954,343,2,3554_1,sim,0,1954,2297,2297,343,bigdata_main_node_08
trace,1793,509,2,3369_1,sim,0,1793,2302,2302,509,bigdata_main_node_08
trace,2038,265,2,3703_1,sim,0,2038,2303,2303,265,bigdata_main_node_02
trace,1960,345,2,3577_1,sim,0,1960,2305,2305,345,bigdata_main_node_09
trace,2084,224,2,3750_1,sim,0,2084,2308,2308,224,bigdata_main_node_06
trace,2084,224,2,3750_2,sim,0,2084,2308,2308,224,bigdata_main_node_01
trace,2118,190,2,3783_1,sim,0,2118,2308,2308,190,bigdata_main_node_04
trace,2116,206,2,3798_1,sim,0,2116,2322,2322,206,bigdata_main_node_05
trace,1966,357,2,3589_1,sim,0,1966,2323,2323,357,bigdata_main_node_01
trace,2140,186,2,3836_1,sim,0,2140,2326,2326,186,bigdata_main_node_04
trace,2118,209,2,3815_1,sim,0,2118,2327,2327,209,bigdata_main_node_04
trace,2116,213,2,3803_1,sim,0,2116,2329,2329,213,bigdata_main_node_06
trace,2116,215,2,3789_1,sim,0,2116,2331,2331,215,bigdata_main_node_02
trace,1791,542,2,3364_1,sim,0,1791,2333,2333,542,bigdata_main_node_01
trace,1815,531,2,3382_1,sim,0,1815,2346,2346,531,bigdata_main_node_06
trace,2135,211,2,3842_1,sim,0,2135,2346,2346,211,bigdata_main_node_03
trace,2160,192,2,3863_1,sim,0,2160,2352,2352,192,bigdata_main_node_03
trace,297,2056,2,1052_1,sim,0,297,2353,2353,2056,bigdata_main_node_06
trace,297,2056,2,1052_3,sim,0,297,2353,2353,2056,bigdata_main_node_06
trace,2142,211,2,3854_1,sim,0,2142,2353,2353,211,bigdata_main_node_09
trace,300,2060,2,1052_2,sim,0,300,2360,2360,2060,bigdata_main_node_06
trace,1523,842,2,2943_1,sim,0,1523,2365,2365,842,bigdata_main_node_05
trace,1955,411,2,3557_1,sim,0,1955,2366,2366,411,bigdata_main_node_08
trace,2161,215,2,3905_1,sim,0,2161,2376,2376,215,bigdata_main_node_09
trace,2076,303,2,3745_1,sim,0,2076,2379,2379,303,bigdata_main_node_03
