start_time,lifespan,cores,job_id
9842,265,1,12806_1
9849,189,1,12814_1
9849,253,1,12820_1
9849,260,1,12825_1
9861,237,1,12833_1
9861,249,1,12838_1
9886,198,1,12865_1
9901,271,1,12884_1
9901,224,1,12889_1
9902,346,1,12895_1
9902,1248,1,12897_1
9925,185,1,12957_1
9925,203,1,12962_1
9925,223,1,12968_1
9925,1779,1,13000_1
9925,1779,1,13000_2
9925,1779,1,13000_3
9929,544,1,13003_1
9929,366,1,13005_1
9936,1282,1,13033_1
9936,1282,1,13033_2
9936,1362,1,13036_1
9936,1362,1,13036_2
9936,1362,1,13036_3
9936,1362,1,13036_4
9938,190,1,13039_1
9941,285,1,13045_1
9948,464,1,13068_1
9948,320,1,13071_1
9976,315,1,13193_1
9976,344,1,13195_1
9988,200,1,13247_1
9988,215,1,13252_1
9988,190,1,13258_1
10009,191,1,13294_1
10070,260,1,13458_1
10075,1733,1,13474_1
10075,2115,1,13477_1
10078,201,1,13480_1
10081,249,1,13501_1
10106,267,1,13566_1
10107,439,1,13585_1
10118,220,1,13611_1
10118,1586,1,13623_1
10118,1586,1,13623_2
10118,1586,1,13623_3
10119,182,1,13626_1
10129,206,1,13652_1
10133,196,1,13673_1
10133,278,1,13679_1
10144,203,1,13707_1
10146,212,1,13715_1
10146,258,1,13721_1
10161,525,1,13742_1
10170,444,1,13759_1
10170,258,1,13761_1
10170,1046,1,13764_1
10187,372,1,13834_1
10299,1349,1,14163_1
10318,24995,1,14214_1
10318,24995,1,14214_2
10325,468,1,14229_1
10325,724,1,14231_1
10325,328,1,14238_1
10327,719,1,14241_1
10341,560,1,14269_1
10341,244,1,14272_1
10389,526,1,14434_1
10389,209,1,14436_1
10397,1508,1,14469_1
10397,1508,1,14469_2
10399,259,1,14473_1
10399,1355,1,14475_1
10416,1056,1,14489_1
10416,564,1,14492_1
10574,330,1,14955_1
10585,313,1,14984_1
10592,1112,1,14998_1
10592,1112,1,14998_2
10592,1112,1,14998_3
10605,709,1,15031_1
10648,371,1,15139_1
10651,639,1,15144_1
10651,639,1,15144_2
10654,1366,1,15148_1
10656,236,1,15150_1
10656,325,1,15153_1
10668,2864,1,15187_1
10683,1092,1,15218_1
10683,1092,1,15218_2
10718,4076,1,15256_1
10738,528,1,15299_1
10743,268,1,15301_1
10749,486,1,15316_1
10749,458,1,15319_1
10800,1821,1,15450_1
10800,1821,1,15450_2
10882,1209,1,15645_1
10899,251,1,15662_1
10918,696,1,15667_1
10918,215,1,15669_1
10918,1351,1,15672_1
10924,386,1,15683_1
10930,252,1,15694_1
10943,2063,1,15718_1
10964,242,1,15737_1
10970,307,1,15754_1
10970,191,1,15756_1
10973,287,1,15759_1
11020,318,1,15890_1
11027,792,1,15916_1
11052,190,1,15974_1
11092,619,1,16063_1
11092,810,1,16067_1
11092,810,1,16067_2
11108,209,1,16069_1
11136,972,1,16148_1
11136,972,1,16148_2
11143,687,1,16152_1
11156,205,1,16185_1
11178,704,1,16263_1
11186,223,1,16295_1
11191,188,1,16322_1
11199,2498,1,16357_1
11202,237,1,16361_1
11218,203,1,16398_1
11221,187,1,16409_1
11321,940,1,16536_1
11321,940,1,16536_2
11328,274,1,16557_1
11391,667,1,16666_1
11391,182,1,16668_1
11516,602,1,16851_1
11569,534,1,16924_1
11577,286,1,16932_1
11577,388,1,16934_1
11581,692,1,16939_1
11581,692,1,16939_2
11586,505,1,16942_1
11616,331,1,17021_1
11616,517,1,17023_1
11616,517,1,17023_2
12040,267,1,17493_1
12041,450,1,17514_1
12041,630,1,17517_1
12041,723,1,17519_1
12078,584,1,17659_1
12078,552,1,17662_1
12078,396,1,17665_1
12078,590,1,17667_1
12078,590,1,17667_2
12078,245,1,17670_1
12078,245,1,17670_2
12078,245,1,17670_3
12078,245,1,17670_4
12122,540,1,17830_1
12150,1442,1,17919_1
12150,272,1,17924_1
12157,506,1,17961_1
12167,1663,1,17985_1
12167,1663,1,17985_2
12167,1663,1,17985_3
12167,1663,1,17985_4
12173,717,1,18003_1
12204,1490,1,18063_1
12220,271,1,18077_1
12220,634,1,18080_1
12220,1616,1,18083_1
12220,1616,1,18083_2
12220,509,1,18085_1
12220,509,1,18085_2
12226,932,1,18093_1
12234,672,1,18119_1
12253,915,1,18174_1
12253,915,1,18174_2
12272,1317,1,18197_1
12288,267,1,18248_1
12290,480,1,18251_1
12290,814,1,18256_1
12323,555,1,18362_1
12323,555,1,18362_2
12324,1173,1,18365_1
12330,382,1,18394_1
12330,382,1,18394_2
12330,382,1,18394_3
12334,414,1,18399_1
12346,295,1,18426_1
12349,283,1,18430_1
12353,272,1,18448_1
12373,1185,1,18469_1
12373,1185,1,18469_2
12391,660,1,18479_1
12391,416,1,18481_1
12410,281,1,18517_1
12410,527,1,18520_1
12422,1290,1,18573_1
12491,444,1,18824_1
12497,419,1,18848_1
12513,294,1,18907_1
12540,782,1,18990_1
12540,844,1,18992_1
12572,294,1,19077_1
12577,520,1,19080_1
12624,642,1,19257_1
12640,605,1,19310_1
12640,605,1,19310_2
12668,418,1,19387_1
12671,309,1,19390_1
12679,496,1,19417_1
12679,376,1,19419_1
12685,212,1,19425_1
12706,354,1,19505_1
12706,650,1,19507_1
12706,650,1,19507_2
12782,232,1,19664_1
12792,191,1,19683_1
12819,1155,1,19756_1
12819,1155,1,19756_2
12819,1155,1,19756_3
12819,1155,1,19756_4
12822,341,1,19759_1
12822,341,1,19759_2
12822,341,1,19759_3
12822,341,1,19759_4
12838,228,1,19795_1
12842,279,1,19798_1
12842,2586,1,19801_1
12860,256,1,19856_1
12860,530,1,19859_1
12883,242,1,19911_1
12909,364,1,19981_1
12936,10444,1,20069_1
12963,814,1,20188_1
12963,814,1,20188_2
12972,220,1,20234_1
12977,204,1,20240_1
12984,910,1,20269_1
12984,910,1,20269_2
13000,345,1,20295_1
13007,742,1,20301_1
13007,742,1,20301_2
13021,197,1,20362_1
13034,463,1,20381_1
13053,378,1,20387_1
13053,326,1,20389_1
13053,458,1,20392_1
13053,1723,1,20395_1
13075,329,1,20432_1
13086,297,1,20461_1
13086,346,1,20463_1
13088,362,1,20467_1
