trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,4401,268,6,190.0,sim,0,4707,4975,4975,268,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,4434,267,1,193.0,sim,0,4736,5003,5003,267,'[''hpc_main_node_06'']'
trace,4445,267,1,194.0,sim,0,4736,5003,5003,267,'[''hpc_main_node_12'']'
trace,4466,267,1,196.0,sim,0,4736,5003,5003,267,'[''hpc_main_node_05'']'
trace,4423,388,2,192.0,sim,0,4736,5124,5124,388,'[''hpc_main_node_22'', ''hpc_main_node_25'']'
trace,5337,241,6,197.0,sim,0,5337,5578,5578,241,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,5348,261,6,198.0,sim,0,5348,5609,5609,261,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,5370,268,6,200.0,sim,0,5370,5638,5638,268,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,5380,258,6,201.0,sim,0,5380,5638,5638,258,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,5391,247,6,202.0,sim,0,5391,5638,5638,247,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,5421,247,6,205.0,sim,0,5421,5668,5668,247,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,5430,388,6,206.0,sim,0,5430,5818,5818,388,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,5449,268,6,208.0,sim,0,5578,5846,5846,268,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,5411,437,6,204.0,sim,0,5411,5848,5848,437,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,5458,268,6,209.0,sim,0,5609,5877,5877,268,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,5467,267,6,210.0,sim,0,5638,5905,5905,267,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,5486,267,6,212.0,sim,0,5638,5905,5905,267,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,5504,267,6,214.0,sim,0,5668,5935,5935,267,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,5495,328,6,213.0,sim,0,5638,5966,5966,328,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,5523,267,6,216.0,sim,0,5818,6085,6085,267,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,5533,267,6,217.0,sim,0,5846,6113,6113,267,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,5562,267,3,220.0,sim,0,5877,6144,6144,267,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'']'
trace,5571,267,2,221.0,sim,0,5877,6144,6144,267,'[''hpc_main_node_39'', ''hpc_main_node_02'']'
trace,5599,267,1,224.0,sim,0,5905,6172,6172,267,'[''hpc_main_node_26'']'
trace,5609,267,1,225.0,sim,0,5905,6172,6172,267,'[''hpc_main_node_35'']'
trace,5544,387,6,218.0,sim,0,5848,6235,6235,387,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,5581,447,1,222.0,sim,0,5877,6324,6324,447,'[''hpc_main_node_21'']'
trace,6477,240,6,226.0,sim,0,6477,6717,6717,240,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,6496,252,6,228.0,sim,0,6496,6748,6748,252,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,6506,300,6,229.0,sim,0,6506,6806,6806,300,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,6552,254,6,234.0,sim,0,6552,6806,6806,254,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,6515,321,6,230.0,sim,0,6515,6836,6836,321,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,6543,323,6,233.0,sim,0,6543,6866,6866,323,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,6571,326,6,236.0,sim,0,6571,6897,6897,326,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,6534,422,6,232.0,sim,0,6534,6956,6956,422,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,6580,267,6,237.0,sim,0,6717,6984,6984,267,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,6589,267,6,238.0,sim,0,6748,7015,7015,267,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,6609,268,6,240.0,sim,0,6806,7074,7074,268,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,6619,268,6,241.0,sim,0,6806,7074,7074,268,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,6628,268,6,242.0,sim,0,6836,7104,7104,268,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,6646,268,6,244.0,sim,0,6866,7134,7134,268,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,6666,267,6,246.0,sim,0,6956,7223,7223,267,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,6686,268,6,248.0,sim,0,6984,7252,7252,268,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,6704,267,2,250.0,sim,0,7015,7282,7282,267,'[''hpc_main_node_39'', ''hpc_main_node_02'']'
trace,6723,267,1,252.0,sim,0,7015,7282,7282,267,'[''hpc_main_node_21'']'
trace,6656,387,6,245.0,sim,0,6897,7284,7284,387,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,6732,267,1,253.0,sim,0,7074,7341,7341,267,'[''hpc_main_node_26'']'
trace,6741,267,1,254.0,sim,0,7074,7341,7341,267,'[''hpc_main_node_35'']'
trace,6695,387,3,249.0,sim,0,7015,7402,7402,387,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'']'
trace,8477,308,6,256.0,sim,0,8477,8785,8785,308,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,8534,252,6,262.0,sim,0,8534,8786,8786,252,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,8487,328,6,257.0,sim,0,8487,8815,8815,328,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,8566,249,6,264.0,sim,0,8566,8815,8815,249,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,8525,320,6,261.0,sim,0,8525,8845,8845,320,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,8576,269,6,265.0,sim,0,8576,8845,8845,269,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
