trace,arrival,lifespan,cores,ram,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,12797,2221.0,4.0,7.0,346.0,sim,0,12797,15018.0,15018,2221,cloud50_node_09
trace,12769,2251.0,2.0,3.5,343.0,sim,0,12769,15020.0,15020,2251,cloud50_node_12
trace,12827,2197.0,2.0,3.5,350.0,sim,0,12827,15024.0,15024,2197,cloud50_node_12
trace,12738,2287.0,2.0,3.5,340.0,sim,0,12738,15025.0,15025,2287,cloud50_node_12
trace,12805,2221.0,8.0,14.0,347.0,sim,0,12805,15026.0,15026,2221,cloud50_node_09
trace,12717,2312.0,1.0,2.0,337.0,sim,0,12717,15029.0,15029,2312,cloud50_node_12
trace,12779,2251.0,2.0,3.5,344.0,sim,0,12779,15030.0,15030,2251,cloud50_node_12
trace,12750,2281.0,1.0,2.0,341.0,sim,0,12750,15031.0,15031,2281,cloud50_node_12
trace,12669,2365.0,4.0,7.0,331.0,sim,0,12669,15034.0,15034,2365,cloud50_node_14
trace,12730,2304.0,1.0,2.0,338.0,sim,0,12730,15034.0,15034,2304,cloud50_node_12
trace,12677,2358.0,1.0,2.0,332.0,sim,0,12677,15035.0,15035,2358,cloud50_node_14
trace,12700,2340.0,1.0,2.0,335.0,sim,0,12700,15040.0,15040,2340,cloud50_node_14
trace,12691,2353.0,4.0,7.0,334.0,sim,0,12691,15044.0,15044,2353,cloud50_node_12
trace,13552,2029.0,2.0,3.5,368.0,sim,0,13552,15581.0,15581,2029,cloud50_node_10
trace,13560,2023.0,1.0,2.0,370.0,sim,0,13560,15583.0,15583,2023,cloud50_node_09
trace,13573,2011.0,8.0,14.0,371.0,sim,0,13573,15584.0,15584,2011,cloud50_node_09
trace,13540,2050.0,2.0,3.5,367.0,sim,0,13540,15590.0,15590,2050,cloud50_node_10
trace,13450,2148.0,2.0,3.5,353.0,sim,0,13450,15598.0,15598,2148,cloud50_node_13
trace,13519,2088.0,1.0,2.0,364.0,sim,0,13519,15607.0,15607,2088,cloud50_node_10
trace,13441,2167.0,1.0,2.0,352.0,sim,0,13441,15608.0,15608,2167,cloud50_node_13
trace,13460,2149.0,8.0,14.0,355.0,sim,0,13460,15609.0,15609,2149,cloud50_node_12
trace,13481,2130.0,1.0,2.0,358.0,sim,0,13481,15611.0,15611,2130,cloud50_node_13
trace,13488,2125.0,1.0,2.0,359.0,sim,0,13488,15613.0,15613,2125,cloud50_node_12
trace,13501,2112.0,1.0,2.0,361.0,sim,0,13501,15613.0,15613,2112,cloud50_node_10
trace,13509,2107.0,1.0,2.0,362.0,sim,0,13509,15616.0,15616,2107,cloud50_node_10
trace,13529,2089.0,2.0,3.5,365.0,sim,0,13529,15618.0,15618,2089,cloud50_node_10
trace,13473,2148.0,2.0,3.5,356.0,sim,0,13473,15621.0,15621,2148,cloud50_node_10
trace,14284,1801.0,1.0,2.0,392.0,sim,0,14284,16085.0,16085,1801,cloud50_node_11
trace,14292,1795.0,8.0,14.0,394.0,sim,0,14292,16087.0,16087,1795,cloud50_node_10
trace,14276,1825.0,2.0,3.5,391.0,sim,0,14276,16101.0,16101,1825,cloud50_node_11
trace,14245,1861.0,4.0,7.0,385.0,sim,0,14245,16106.0,16106,1861,cloud50_node_14
trace,14261,1848.0,1.0,2.0,388.0,sim,0,14261,16109.0,16109,1848,cloud50_node_11
trace,14269,1842.0,1.0,2.0,389.0,sim,0,14269,16111.0,16111,1842,cloud50_node_11
trace,14253,1861.0,4.0,7.0,386.0,sim,0,14253,16114.0,16114,1861,cloud50_node_14
trace,14238,1896.0,1.0,2.0,383.0,sim,0,14238,16134.0,16134,1896,cloud50_node_13
trace,14213,1939.0,1.0,2.0,379.0,sim,0,14213,16152.0,16152,1939,cloud50_node_13
trace,14230,1926.0,2.0,3.5,382.0,sim,0,14230,16156.0,16156,1926,cloud50_node_13
trace,14221,1939.0,1.0,2.0,380.0,sim,0,14221,16160.0,16160,1939,cloud50_node_13
trace,14205,1969.0,1.0,2.0,377.0,sim,0,14205,16174.0,16174,1969,cloud50_node_13
trace,14197,1987.0,1.0,2.0,376.0,sim,0,14197,16184.0,16184,1987,cloud50_node_09
trace,14181,2005.0,1.0,2.0,373.0,sim,0,14181,16186.0,16186,2005,cloud50_node_09
trace,14189,1999.0,1.0,2.0,374.0,sim,0,14189,16188.0,16188,1999,cloud50_node_09
trace,15027,1620.0,8.0,14.0,419.0,sim,0,15027,16647.0,16647,1620,cloud50_node_09
trace,15002,1651.0,8.0,14.0,415.0,sim,0,15002,16653.0,16653,1651,cloud50_node_11
trace,15010,1644.0,1.0,2.0,416.0,sim,0,15010,16654.0,16654,1644,cloud50_node_11
trace,15018,1639.0,8.0,14.0,418.0,sim,0,15018,16657.0,16657,1639,cloud50_node_03
trace,14980,1698.0,2.0,3.5,410.0,sim,0,14980,16678.0,16678,1698,cloud50_node_11
