timestamp,nodes_owned,nodes_cur_cap,nodes_in_use,nodes_indemand,jobs_waiting,jobs_running,jobs_completed,jobs_cancelled,jobs_failed
36822,49,49,0,0,0,0,416,0,0
36833,49,49,0,0,0,0,416,0,0
36844,49,49,0,0,0,0,416,0,0
36855,49,49,0,0,0,0,416,0,0
36866,49,49,0,0,0,0,416,0,0
36876,49,49,0,0,0,0,416,0,0
36887,49,49,0,0,0,0,416,0,0
36898,49,49,0,0,0,0,416,0,0
36908,49,49,0,0,0,0,416,0,0
36919,49,49,0,0,0,0,416,0,0
36930,49,49,0,0,0,0,416,0,0
36940,49,49,0,0,0,0,416,0,0
36951,49,49,0,0,0,0,416,0,0
36962,49,49,0,0,0,0,416,0,0
36973,49,49,0,0,0,0,416,0,0
36983,49,49,0,0,0,0,416,0,0
36994,49,49,0,0,0,0,416,0,0
37005,49,49,0,0,0,0,416,0,0
37016,49,49,0,0,0,0,416,0,0
37027,49,49,0,0,0,0,416,0,0
37037,49,49,0,0,0,0,416,0,0
37048,49,49,0,0,0,0,416,0,0
37059,49,49,0,0,0,0,416,0,0
37070,49,49,0,0,0,0,416,0,0
37080,49,49,0,0,0,0,416,0,0
37091,49,49,0,0,0,0,416,0,0
37102,49,49,0,0,0,0,416,0,0
37112,49,49,0,0,0,0,416,0,0
37123,49,49,0,0,0,0,416,0,0
37134,49,49,0,0,0,0,416,0,0
37145,49,49,0,0,0,0,416,0,0
37156,49,49,0,0,0,0,416,0,0
37167,49,49,0,0,0,0,416,0,0
37178,49,49,0,0,0,0,416,0,0
37188,49,49,0,0,0,0,416,0,0
37199,49,49,0,0,0,0,416,0,0
37210,49,49,0,0,0,0,416,0,0
37221,49,49,0,0,0,0,416,0,0
37231,49,49,0,0,0,0,416,0,0
37242,49,49,0,0,0,0,416,0,0
37253,49,49,0,0,0,0,416,0,0
37264,49,49,0,0,0,0,416,0,0
37275,49,49,0,0,0,0,416,0,0
37285,49,49,0,0,0,0,416,0,0
37296,49,49,0,0,0,0,416,0,0
37307,49,49,0,0,0,0,416,0,0
37318,49,49,0,0,0,0,416,0,0
37333,49,49,0,0,0,0,416,0,0
37344,49,49,0,0,0,0,416,0,0
37355,49,49,0,0,0,0,416,0,0
37365,49,49,0,0,0,0,416,0,0
37376,49,49,0,0,0,0,416,0,0
37387,49,49,0,0,0,0,416,0,0
37397,49,49,0,0,0,0,416,0,0
37408,49,49,0,0,0,0,416,0,0
37419,49,49,0,0,0,0,416,0,0
37430,49,49,0,0,0,0,416,0,0
37441,49,49,0,0,0,0,416,0,0
37451,49,49,0,0,0,0,416,0,0
37462,49,49,0,0,0,0,416,0,0
37473,49,49,0,0,0,0,416,0,0
37483,49,49,0,0,0,0,416,0,0
37494,49,49,0,0,0,0,416,0,0
37505,49,49,0,0,0,0,416,0,0
37515,49,49,0,0,0,0,416,0,0
37526,49,49,0,0,0,0,416,0,0
37537,49,49,0,0,0,0,416,0,0
37547,49,49,0,0,0,0,416,0,0
37558,49,49,0,0,0,0,416,0,0
37569,49,49,0,0,0,0,416,0,0
37580,49,49,0,0,0,0,416,0,0
37591,49,49,0,0,0,0,416,0,0
37602,49,49,0,0,0,0,416,0,0
37612,49,49,0,0,0,0,416,0,0
37623,49,49,0,0,0,0,416,0,0
37634,49,49,0,0,0,0,416,0,0
37644,49,49,0,0,0,0,416,0,0
37655,49,49,0,0,0,0,416,0,0
37666,49,49,0,0,0,0,416,0,0
37677,49,49,0,0,0,0,416,0,0
37687,49,49,0,0,0,0,416,0,0
37698,49,49,0,0,0,0,416,0,0
37709,49,49,0,0,0,0,416,0,0
37719,49,49,0,0,0,0,416,0,0
37730,49,49,0,0,0,0,416,0,0
37741,49,49,0,0,0,0,416,0,0
